airport,date,hour,Scheduled_volume,Actual_volume,diff,diff1,diff2,diff3,diff4,diff5,temperature,wind_speed,wind_gust,visibility,ceiling,in_1_hour_precip
DEN,1/1/2013,8,94,95,-1,9,0,-1,0,-1,-11.7,4,,9,40000,0
DEN,1/1/2013,9,108,104,4,-1,9,0,-1,0,-13.9,0,,9,40000,0
DEN,1/1/2013,10,146,145,1,4,-1,9,0,-1,-11.1,4,,7,6500,0
DEN,1/1/2013,11,131,128,3,1,4,-1,9,0,-12.2,6,,7,5000,0
DEN,1/1/2013,12,86,88,-2,3,1,4,-1,9,-11.7,9,,8,14000,0
DEN,1/1/2013,13,88,85,3,-2,3,1,4,-1,-11.1,8,,8,14000,0
DEN,1/1/2013,14,106,102,4,3,-2,3,1,4,-11.1,5,,5,15000,0
DEN,1/1/2013,15,118,118,0,4,3,-2,3,1,-8.3,4,,6,16000,0
DEN,1/1/2013,16,83,85,-2,0,4,3,-2,3,-6.1,4,,7,14000,0
DEN,1/1/2013,17,117,111,6,-2,0,4,3,-2,-4.4,5,,10,14000,0
DEN,1/1/2013,18,142,136,6,6,-2,0,4,3,-3.9,4,,10,20000,0
DEN,1/1/2013,19,116,118,-2,6,6,-2,0,4,-3.3,3,,10,40000,0
DEN,1/1/2013,20,78,79,-1,-2,6,6,-2,0,-2.8,6,,10,40000,0
DEN,1/1/2013,21,74,75,-1,-1,-2,6,6,-2,-2.8,7,,10,40000,0
DEN,1/1/2013,22,21,21,0,-1,-1,-2,6,6,-3.9,5,,10,40000,0
DEN,1/1/2013,23,16,21,-5,0,-1,-1,-2,6,-6.7,7,,10,40000,0
DEN,1/2/2013,0,7,6,1,-5,0,-1,-1,-2,-8.3,10,,10,40000,0
DEN,1/2/2013,1,1,2,-1,1,-5,0,-1,-1,-11.1,7,,10,40000,0
DEN,1/2/2013,2,1,4,-3,-1,1,-5,0,-1,-7.2,10,,10,40000,0
DEN,1/2/2013,3,0,4,-4,-3,-1,1,-5,0,-7.8,8,,10,40000,0
DEN,1/2/2013,4,0,6,-6,-4,-3,-1,1,-5,-9.4,7,,10,40000,0
DEN,1/2/2013,5,2,19,-17,-6,-4,-3,-1,1,-8.9,5,,10,40000,0
DEN,1/2/2013,6,25,26,-1,-17,-6,-4,-3,-1,-8.3,8,,10,40000,0
DEN,1/2/2013,7,87,87,0,-1,-17,-6,-4,-3,-6.7,3,,10,6000,0
DEN,1/2/2013,8,122,125,-3,0,-1,-17,-6,-4,-5,0,,10,6500,0
DEN,1/2/2013,9,120,114,6,-3,0,-1,-17,-6,-5.6,3,,10,5500,0
DEN,1/2/2013,10,167,172,-5,6,-3,0,-1,-17,-8.9,4,,10,7500,0
DEN,1/2/2013,11,138,140,-2,-5,6,-3,0,-1,-7.2,9,,10,9500,0
DEN,1/2/2013,12,95,102,-7,-2,-5,6,-3,0,-9.4,8,,10,10000,0
DEN,1/2/2013,13,85,76,9,-7,-2,-5,6,-3,-8.9,7,,10,10000,0
DEN,1/2/2013,14,111,112,-1,9,-7,-2,-5,6,-8.3,8,,10,15000,0
DEN,1/2/2013,15,118,119,-1,-1,9,-7,-2,-5,-6.1,5,,10,10000,0
DEN,1/2/2013,16,79,84,-5,-1,-1,9,-7,-2,-3.3,4,,10,10000,0
DEN,1/2/2013,17,122,118,4,-5,-1,-1,9,-7,-1.1,0,,10,40000,0
DEN,1/2/2013,18,140,148,-8,4,-5,-1,-1,9,-1.7,13,,10,40000,0
DEN,1/2/2013,19,121,124,-3,-8,4,-5,-1,-1,-2.2,15,19,10,40000,0
DEN,1/2/2013,20,82,88,-6,-3,-8,4,-5,-1,-2.2,14,,10,40000,0
DEN,1/2/2013,21,97,100,-3,-6,-3,-8,4,-5,-1.7,7,,10,40000,0
DEN,1/2/2013,22,24,25,-1,-3,-6,-3,-8,4,-2.8,5,,10,40000,0
DEN,1/2/2013,23,19,20,-1,-1,-3,-6,-3,-8,-4.4,4,,10,40000,0
DEN,1/3/2013,0,6,8,-2,-1,-1,-3,-6,-3,-6.7,4,,10,40000,0
